call_index,call_id,model,recording_id,window_size,segment_idx,window_id,expansion_role,prior_bucket,existing_omni_result,audio,audio_exists,clip_start_sec,clip_sec,proxy_score,proxy_reasons,prior_omni_risks,source_artifacts,output_jsonl,writeback_right
53,R8009_M8020:30:12:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8020,30,12,R8009_M8020:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,360.0,8.0,4.895,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
54,R8009_M8020:30:12:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8020,30,12,R8009_M8020:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,360.0,8.0,4.895,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
55,R8009_M8019:30:12:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8019,30,12,R8009_M8019:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,360.0,8.0,4.824,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
56,R8009_M8019:30:12:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8019,30,12,R8009_M8019:30:12,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,360.0,8.0,4.824,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
57,R8009_M8018:30:11:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8018,30,11,R8009_M8018:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,330.0,8.0,4.821,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
58,R8009_M8018:30:11:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8018,30,11,R8009_M8018:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,330.0,8.0,4.821,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
59,R8009_M8018:30:6:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8018,30,6,R8009_M8018:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,180.0,8.0,4.776,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
60,R8009_M8018:30:6:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8018,30,6,R8009_M8018:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,180.0,8.0,4.776,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
61,R8007_M8010:30:1:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,1,R8007_M8010:30:1,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,30.0,8.0,4.736,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
62,R8007_M8010:30:1:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,1,R8007_M8010:30:1,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,30.0,8.0,4.736,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
63,R8008_M8013:30:13:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,13,R8008_M8013:30:13,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,390.0,8.0,4.713,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
64,R8008_M8013:30:13:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,13,R8008_M8013:30:13,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,390.0,8.0,4.713,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
65,R8003_M8001:30:9:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,9,R8003_M8001:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,270.0,8.0,4.596,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
66,R8003_M8001:30:9:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,9,R8003_M8001:30:9,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,270.0,8.0,4.596,cross_model_segment_count_gap;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
67,R8007_M8010:30:7:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,7,R8007_M8010:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,210.0,8.0,4.235,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
68,R8007_M8010:30:7:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,7,R8007_M8010:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,210.0,8.0,4.235,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
69,R8009_M8019:30:7:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8019,30,7,R8009_M8019:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,210.0,8.0,4.216,cross_model_segment_count_gap,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
70,R8009_M8019:30:7:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8019,30,7,R8009_M8019:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,210.0,8.0,4.216,cross_model_segment_count_gap,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
71,R8007_M8010:30:6:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,6,R8007_M8010:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,180.0,8.0,4.087,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
72,R8007_M8010:30:6:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,6,R8007_M8010:30:6,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,180.0,8.0,4.087,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
73,R8003_M8001:30:11:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,11,R8003_M8001:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,330.0,8.0,4.073,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
74,R8003_M8001:30:11:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,11,R8003_M8001:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,330.0,8.0,4.073,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
75,R8008_M8013:30:11:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,11,R8008_M8013:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,330.0,8.0,4.049,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
76,R8008_M8013:30:11:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,11,R8008_M8013:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,330.0,8.0,4.049,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
77,R8009_M8020:30:3:qwen3.5-omni-flash,qwen3.5-omni-flash,R8009_M8020,30,3,R8009_M8020:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,90.0,8.0,3.960,cross_model_segment_count_gap,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
78,R8009_M8020:30:3:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8009_M8020,30,3,R8009_M8020:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,90.0,8.0,3.960,cross_model_segment_count_gap,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
79,R8007_M8010:30:13:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,13,R8007_M8010:30:13,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,390.0,8.0,3.953,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
80,R8007_M8010:30:13:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,13,R8007_M8010:30:13,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,390.0,8.0,3.953,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
81,R8007_M8010:30:8:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,8,R8007_M8010:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,240.0,8.0,3.915,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
82,R8007_M8010:30:8:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,8,R8007_M8010:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,240.0,8.0,3.915,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
83,R8007_M8010:30:3:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8010,30,3,R8007_M8010:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,90.0,8.0,3.837,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
84,R8007_M8010:30:3:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8010,30,3,R8007_M8010:30:3,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,90.0,8.0,3.837,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
85,R8003_M8001:30:8:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,8,R8003_M8001:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,240.0,8.0,3.769,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
86,R8003_M8001:30:8:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,8,R8003_M8001:30:8,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,240.0,8.0,3.769,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
87,R8003_M8001:30:14:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,14,R8003_M8001:30:14,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,420.0,8.0,3.707,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
88,R8003_M8001:30:14:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,14,R8003_M8001:30:14,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,420.0,8.0,3.707,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
89,R8007_M8011:30:11:qwen3.5-omni-flash,qwen3.5-omni-flash,R8007_M8011,30,11,R8007_M8011:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,330.0,8.0,3.675,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
90,R8007_M8011:30:11:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8007_M8011,30,11,R8007_M8011:30:11,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,330.0,8.0,3.675,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
91,R8003_M8001:30:7:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,7,R8003_M8001:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,210.0,8.0,3.603,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
92,R8003_M8001:30:7:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,7,R8003_M8001:30:7,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,210.0,8.0,3.603,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
93,R8003_M8001:30:0:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,0,R8003_M8001:30:0,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,0.0,8.0,3.581,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
94,R8003_M8001:30:0:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,0,R8003_M8001:30:0,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,0.0,8.0,3.581,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
95,R8008_M8013:30:5:qwen3.5-omni-flash,qwen3.5-omni-flash,R8008_M8013,30,5,R8008_M8013:30:5,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,150.0,8.0,3.440,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
96,R8008_M8013:30:5:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8008_M8013,30,5,R8008_M8013:30:5,new_runtime_proxy_window,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,150.0,8.0,3.440,cross_model_speaker_count_mismatch;pred_speech_too_long,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
